LSOA11CD,LSOA11NM,LADNM,stops_count,avg_departures_per_hour,median_departures_per_hour,pct_stops_lt1_per_hour,BusFreqBand,BusFreq_norm,BusFreqScore,rank_desc,list_type
E01012679,Blackpool 008B,Blackpool,1,29.333333333333332,29.333333333333332,0.0,High,0.0,29.333333333333332,1,top
E01033073,Lancaster 014F,Lancaster,3,15.27777777777778,21.166666666666668,0.0,High,0.2799999999999999,21.166666666666668,2,top
E01024991,Fylde 009B,Fylde,7,15.428571428571429,17.666666666666668,0.0,High,0.3999999999999999,17.666666666666668,3,top
E01012755,Blackpool 017F,Blackpool,6,14.833333333333334,17.0,0.0,High,0.4228571428571429,17.0,4,top
E01012753,Blackpool 017D,Blackpool,2,17.0,17.0,0.0,High,0.4228571428571429,17.0,5,top
E01025305,Preston 016F,Preston,5,17.3,16.0,0.0,High,0.4571428571428571,16.0,6,top
E01012680,Blackpool 008C,Blackpool,8,16.125,15.666666666666666,0.0,High,0.4685714285714286,15.666666666666666,7,top
E01025024,Fylde 004D,Fylde,15,11.97777777777778,14.833333333333334,0.0,High,0.4971428571428571,14.833333333333334,8,top
E01024984,Fylde 006A,Fylde,11,11.272727272727272,14.666666666666666,0.0,High,0.5028571428571429,14.666666666666666,9,top
E01012711,Blackpool 005B,Blackpool,7,13.023809523809524,13.333333333333334,0.0,High,0.5485714285714286,13.333333333333334,10,top
E01012673,Blackpool 010A,Blackpool,5,15.933333333333334,13.333333333333334,0.0,High,0.5485714285714286,13.333333333333334,11,top
E01012735,Blackpool 010C,Blackpool,2,13.166666666666668,13.166666666666668,0.0,High,0.5542857142857143,13.166666666666668,12,top
E01012717,Blackpool 002E,Blackpool,10,9.683333333333334,12.833333333333332,0.0,High,0.5657142857142857,12.833333333333332,13,top
E01012690,Blackpool 004A,Blackpool,3,12.333333333333334,12.5,0.0,High,0.5771428571428572,12.5,14,top
E01025312,Preston 012E,Preston,5,10.666666666666668,12.333333333333334,0.0,High,0.5828571428571429,12.333333333333334,15,top
E01012703,Blackpool 002B,Blackpool,9,13.018518518518515,12.166666666666666,0.0,High,0.5885714285714285,12.166666666666666,16,top
E01012691,Blackpool 004B,Blackpool,6,9.416666666666666,12.0,0.0,High,0.5942857142857143,12.0,17,top
E01012674,Blackpool 013C,Blackpool,5,11.966666666666669,12.0,0.0,High,0.5942857142857143,12.0,18,top
E01025604,Wyre 008F,Wyre,7,12.547619047619047,12.0,0.0,High,0.5942857142857143,12.0,19,top
E01025306,Preston 017D,Preston,3,9.833333333333334,11.833333333333334,0.0,High,0.6000000000000001,11.833333333333334,20,top
E01012571,Blackburn with Darwen 007A,Blackburn with Darwen,3,0.4444444444444444,0.5,100.0,Desert,0.9885714285714288,0.5,878,bottom
E01025167,Lancaster 002D,Lancaster,17,0.5882352941176471,0.5,100.0,Desert,0.9885714285714288,0.5,879,bottom
E01025374,Rossendale 010B,Rossendale,9,0.537037037037037,0.5,88.88888888888889,Desert,0.9885714285714288,0.5,880,bottom
E01025373,Rossendale 004C,Rossendale,22,1.5151515151515154,0.5,63.63636363636363,Desert,0.9885714285714288,0.5,881,bottom
E01025390,Rossendale 010I,Rossendale,5,1.1333333333333333,0.5,80.0,Desert,0.9885714285714288,0.5,882,bottom
E01024883,Burnley 004A,Burnley,8,1.375,0.5,62.5,Desert,0.9885714285714288,0.5,883,bottom
E01025204,Pendle 008E,Pendle,21,0.5476190476190477,0.5,90.47619047619048,Desert,0.9885714285714288,0.5,884,bottom
E01025177,Pendle 008D,Pendle,16,0.8333333333333334,0.5,81.25,Desert,0.9885714285714288,0.5,885,bottom
E01025381,Rossendale 003D,Rossendale,7,0.9285714285714286,0.5,57.14285714285714,Desert,0.9885714285714288,0.5,886,bottom
E01025472,West Lancashire 012A,West Lancashire,3,1.1666666666666667,0.5,66.66666666666666,Desert,0.9885714285714288,0.5,887,bottom
E01025497,West Lancashire 001B,West Lancashire,4,0.5416666666666666,0.5,75.0,Desert,0.9885714285714288,0.5,888,bottom
E01012647,Blackburn with Darwen 015C,Blackburn with Darwen,2,0.4166666666666666,0.4166666666666666,100.0,Desert,0.9914285714285714,0.4166666666666666,889,bottom
E01012573,Blackburn with Darwen 007C,Blackburn with Darwen,2,0.4166666666666666,0.4166666666666666,100.0,Desert,0.9914285714285714,0.4166666666666666,890,bottom
E01012597,Blackburn with Darwen 013B,Blackburn with Darwen,6,0.4166666666666667,0.4166666666666666,100.0,Desert,0.9914285714285714,0.4166666666666666,891,bottom
E01012641,Blackburn with Darwen 008F,Blackburn with Darwen,5,1.0,0.3333333333333333,60.0,Desert,0.9942857142857144,0.3333333333333333,892,bottom
E01025060,Hyndburn 001A,Hyndburn,1,0.3333333333333333,0.3333333333333333,100.0,Desert,0.9942857142857144,0.3333333333333333,893,bottom
E01012617,Blackburn with Darwen 015A,Blackburn with Darwen,3,0.3333333333333333,0.3333333333333333,100.0,Desert,0.9942857142857144,0.3333333333333333,894,bottom
E01012572,Blackburn with Darwen 007B,Blackburn with Darwen,3,0.3888888888888888,0.3333333333333333,100.0,Desert,0.9942857142857144,0.3333333333333333,895,bottom
E01025315,Ribble Valley 001A,Ribble Valley,1,0.1666666666666666,0.1666666666666666,100.0,Desert,1.0,0.1666666666666666,896,bottom
E01025554,Wyre 008A,Wyre,7,1.8333333333333337,0.1666666666666666,57.14285714285714,Desert,1.0,0.1666666666666666,897,bottom
